"2020-05-28 20:55:58",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2020-05-28 20:56:05","Client:1000000000","client-connected","201.0.178.186:52779","192.168.1.100:7198"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000049,"2000|18"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000055,"2000|14"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000062,"2000|16"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000068,"2000|21"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000074,"2000|13"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000103,"2100|1"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000109,"2100|2"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000114,"2100|3"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000120,"2100|4"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000126,"2100|6"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000131,"2100|7"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000137,"2100|10"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000143,"2100|11"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000148,"2100|16"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000154,"2100|18"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000160,"2100|17"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000166,"2100|21"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000172,"2100|24"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000178,"2100|25"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000184,"2100|26"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000190,"2100|29"
"2020-05-28 20:56:11","AIR:401000000","building-cog",401000196,"2100|32|s|3"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000198,"2100|33"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000204,"2100|38"
"2020-05-28 20:56:11","AIR:401000000","building-cog",401000209,"2100|57|c|1"
"2020-05-28 20:56:11","AIR:401000000","building-toon",401000211,"2100|39"
